clicked,time
"extrovert",1511829676057
"extrovert",1511829676604
"start",1511829736948
"extrovert",1511829856185
"extrovert",1511829856695
"extrovert",1511829857046
"extrovert",1511829857288
"extrovert",1511829857491
"extrovert",1511829857712
"extrovert",1511829857944
"extrovert",1511829858152
"extrovert",1511829858381
"start",1511830020731
"extrovert",1511830024810
"extrovert",1511830025273
"extrovert",1511830025555
"extrovert",1511830026200
"extrovert",1511830026433
"extrovert",1511830026653
"extrovert",1511830026909
"extrovert",1511830027109
"extrovert",1511830027383
"start",1511830159012
"start",1511830182821
"extrovert",1511830185431
"start",1511830197295
"start",1511830279998
"start",1511830301485
"start",1511830349328
"start",1511830810005
"start",1512341516469
"introvert",1512341812328
"extrovert",1512341812825
"extrovert",1512341813188
"extrovert",1512341813441
"extrovert",1512341813643
"extrovert",1512341813843
"extrovert",1512341814015
"extrovert",1512341814183
"extrovert",1512341814363
"start",1512403802305
"extrovert",1512403809537
"introvert",1512403810378
"extrovert",1512403811404
"introvert",1512403812577
"extrovert",1512403813663
"introvert",1512403815745
"extrovert",1512403822358
"introvert",1512403823643
"introvert",1512403824297
"start",1512403895599
"introvert",1512403906746
"extrovert",1512403925250
"extrovert",1512403928546
"introvert",1512403933948
"extrovert",1512403938040
"extrovert",1512403941666
"extrovert",1512403944416
"introvert",1512403946488
"introvert",1512403948381
"start",1512404040668
"extrovert",1512404053277
"introvert",1512404056621
"extrovert",1512404057768
"introvert",1512404058593
"extrovert",1512404059613
"introvert",1512404060337
"extrovert",1512404060886
"introvert",1512404061413
"extrovert",1512404062551
"start",1512404384857
"start",1512404660706
"start",1512406016574
"extrovert",1512406018092
"extrovert",1512406022358
"introvert",1512406022950
"start",1512406100586
"introvert",1512406104482
"start",1512406159645
"introvert",1512406160658
"start",1512406197397
"introvert",1512406198483
"extrovert",1512406199670
"introvert",1512406201379
"introvert",1512406203719
"introvert",1512406204285
"introvert",1512406204896
"introvert",1512406205455
"introvert",1512406206019
"introvert",1512406206577
"start",1512406239905
"extrovert",1512406241267
"introvert",1512406242515
"extrovert",1512406243579
"introvert",1512406244650
"extrovert",1512406245786
"introvert",1512406246980
"extrovert",1512406248030
"introvert",1512406249081
"extrovert",1512406250145
"start",1512406292488
"introvert",1512406294056
"extrovert",1512406295670
"introvert",1512406296941
"extrovert",1512406298291
"introvert",1512406299472
"extrovert",1512406300638
"start",1512406325534
"introvert",1512406326654
"extrovert",1512406328166
"introvert",1512406329283
"extrovert",1512406330366
"introvert",1512406331495
"extrovert",1512406332750
"introvert",1512406333637
"extrovert",1512406334687
"introvert",1512406335721
"start",1512406366378
"extrovert",1512406370988
"introvert",1512406373323
"extrovert",1512406375806
"extrovert",1512406378154
"introvert",1512406379774
"introvert",1512406381002
"extrovert",1512406382424
"extrovert",1512406384142
"extrovert",1512406385426
"start",1512406492768
"introvert",1512406495016
"extrovert",1512406496349
"introvert",1512406497557
"extrovert",1512406498720
"extrovert",1512406499736
"extrovert",1512406500928
"extrovert",1512406501896
"extrovert",1512406502874
"extrovert",1512406503821
"start",1512406642763
"extrovert",1512406644230
"introvert",1512406645192
"extrovert",1512406646365
"introvert",1512406647414
"extrovert",1512406648459
"introvert",1512406649606
"extrovert",1512406650659
"introvert",1512406652330
"extrovert",1512406653533
"start",1512406740421
"extrovert",1512406742514
"introvert",1512406743600
"extrovert",1512406744652
"introvert",1512406745817
"extrovert",1512406746877
"introvert",1512406748084
"extrovert",1512406749054
"introvert",1512406750088
"introvert",1512406751144
"start",1512407285681
"extrovert",1512407286581
"introvert",1512407287759
"introvert",1512407288879
"introvert",1512407289513
"extrovert",1512407290033
"introvert",1512407290591
"introvert",1512407291000
"extrovert",1512407292097
"introvert",1512407293158
"start",1512407295654
"start",1512407438780
"extrovert",1512407439853
"introvert",1512407440961
"introvert",1512407441616
"extrovert",1512407442692
"introvert",1512407445314
"introvert",1512407445794
"start",1512407462705
"extrovert",1512407463717
"introvert",1512407464700
"introvert",1512407465489
"extrovert",1512407466630
"introvert",1512407467510
"extrovert",1512407468523
"extrovert",1512407469116
"extrovert",1512407469621
"extrovert",1512407470164
"start",1512407521714
"extrovert",1512407523323
"introvert",1512407524306
"introvert",1512407525361
"introvert",1512407526459
"extrovert",1512407527583
"introvert",1512407528662
"introvert",1512407529861
"introvert",1512407530806
"introvert",1512407531429
"start",1512407744561
"extrovert",1512407745751
"introvert",1512407746759
"start",1512407811432
"extrovert",1512407812296
"introvert",1512407813063
"extrovert",1512407813804
"introvert",1512407814571
"extrovert",1512407815474
"introvert",1512407816179
"introvert",1512407816701
"extrovert",1512407817620
"introvert",1512407818166
"start",1512407851492
"extrovert",1512407852463
"introvert",1512407853910
"extrovert",1512407854783
"introvert",1512407855469
"extrovert",1512407856803
"introvert",1512407857464
"extrovert",1512407857959
"introvert",1512407858456
"extrovert",1512407858997
"start",1512407877821
"extrovert",1512407878916
"extrovert",1512407879427
"extrovert",1512407879938
"extrovert",1512407880483
"extrovert",1512407880980
"extrovert",1512407881533
"extrovert",1512407882030
"extrovert",1512407882527
"extrovert",1512407883018
"extrovert",1512407883609
"extrovert",1512407884159
"extrovert",1512407884706
"extrovert",1512407885321
"extrovert",1512407885874
"extrovert",1512407886413
"extrovert",1512407886917
"extrovert",1512407887518
"extrovert",1512407888027
"extrovert",1512407888533
"start",1512408057029
"introvert",1512408061004
"extrovert",1512408064568
"introvert",1512408066224
"introvert",1512408067367
"extrovert",1512408069369
"extrovert",1512408069884
"introvert",1512408071440
"introvert",1512408072033
"introvert",1512408072547
"extrovert",1512408073661
"introvert",1512408074722
"extrovert",1512408075350
"introvert",1512408076539
"extrovert",1512408077471
"introvert",1512408079576
"introvert",1512408080192
"introvert",1512408080755
"introvert",1512408081272
"introvert",1512408081816
